# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -12720 10 45 43 1024885 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12720 7 45 43 1218202 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12720 6 45 43 1023983 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12720 11 45 43 1212032 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12720 7 45 43 1211282 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_FIRST_OCCURRENCE 16025 8 46 43 857060 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16025 9 46 43 1158042 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16025 9 46 43 1155797 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_WITHIN_SAME_TREE -16025 8 46 43 835653 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_FIRST_OCCURRENCE 7393 4 48 43 867516 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7393 4 48 43 833602 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7393 5 48 43 840225 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7393 5 48 43 904195 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_FIRST_OCCURRENCE 10052 5 50 43 1025321 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10052 6 50 43 1218424 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10052 9 50 43 1024271 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10052 5 50 43 1023995 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10052 6 50 43 1211297 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10052 10 50 43 1212047 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10052 9 50 43 1024945 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10052 10 50 43 1218007 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_FIRST_OCCURRENCE 4111 3 52 43 868171 5 /openedx/staticfiles/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4111 4 52 43 1156185 5 /openedx/staticfiles/studio/common/js/vendor/index.js
DUPTYPE_WITHIN_SAME_TREE -4111 4 52 43 1159235 5 /openedx/staticfiles/studio/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4111 3 52 43 836142 5 /openedx/staticfiles/common/js/vendor/index.js
DUPTYPE_FIRST_OCCURRENCE 16017 8 53 43 857063 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16017 8 53 43 835656 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16017 9 53 43 1155800 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16017 9 53 43 1158045 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_FIRST_OCCURRENCE 9856 5 54 43 859225 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.d88b9159a635.js
DUPTYPE_WITHIN_SAME_TREE -9856 5 54 43 838018 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.js
